time_stamp,current_price,label,prediction
1727240368,2.3559841760193005e-05,1.0,0.9995661392723185
1727240369,2.3569801207028735e-05,1.0,0.5552984395400318
1727240370,2.3569803564008974e-05,1.0,0.9952738019840569
1727240371,2.361630376102807e-05,1.0,0.7823347488524334
1727240372,2.3669574537506874e-05,1.0,0.9958528390109167
1727240373,2.3669574537506874e-05,1.0,0.9931127215805223
1727240374,2.3669574537506874e-05,1.0,0.2772415409414247
1727240375,2.3669574537506874e-05,1.0,0.9652279868003595
1727240376,2.4664792990415445e-05,1.0,0.9996386280212777
1727240377,2.4664792990415445e-05,1.0,0.9998233617923398
1727240378,2.4664792990415445e-05,1.0,0.9140810254075706
1727240379,2.4664792990415445e-05,1.0,0.7363237303727324
1727240380,2.4664792990415445e-05,1.0,0.9994747499819084
1727240381,2.4664792990415445e-05,1.0,0.9988903431006096
1727240382,2.5708672185691543e-05,1.0,0.8325100411855623
1727240383,2.3896764381623226e-05,1.0,0.8688306739542033
1727240384,2.3896764381623226e-05,1.0,0.9569149226527914
1727240385,2.3896764381623226e-05,1.0,0.9964987306510035
1727240386,2.2217278426475053e-05,1.0,0.999149154547822
1727240387,2.2217278426475053e-05,1.0,0.9991224189418604
1727240388,2.2217278426475053e-05,1.0,0.9987357817232683
1727240389,2.2238753872825083e-05,1.0,0.8526784326973114
1727240390,2.2238753872825083e-05,1.0,0.8872627027154798
1727240391,2.2291407241561563e-05,1.0,0.9966062806562459
1727240392,2.264403118250508e-05,1.0,0.47257536016876245
1727240393,2.30537444200938e-05,1.0,0.9984312691241997
1727240394,2.30537444200938e-05,1.0,0.9262451408769832
1727240395,2.30537444200938e-05,1.0,0.8190229921974798
1727240396,2.3136142832252597e-05,1.0,0.8026776930724011
1727240397,2.3136142832252597e-05,1.0,0.9108277321267646
1727240398,2.3136142832252597e-05,1.0,0.9868066333644809
1727240399,2.3136142832252597e-05,1.0,0.4940354692195562
1727240400,2.3136142832252597e-05,1.0,0.9115857845194193
1727240401,2.476056661824509e-05,1.0,0.9991050118739222
1727240402,2.476056661824509e-05,1.0,0.8966480032667355
1727240403,2.476056661824509e-05,1.0,0.9993020490294788
1727240404,2.666252077758865e-05,1.0,0.9981917533697735
1727240405,2.666252077758865e-05,1.0,0.9158656038480002
1727240406,2.666252077758865e-05,1.0,0.9986420795320646
1727240407,2.666252077758865e-05,1.0,0.9937678018447387
1727240408,2.6829402960300656e-05,1.0,0.9996619174118063
1727240409,2.6829402960300656e-05,1.0,0.5585539733911169
1727240410,2.6829402960300656e-05,1.0,0.3736555778527634
1727240411,2.6829405643241084e-05,1.0,0.9998158378687071
1727240412,2.6829405643241084e-05,1.0,0.999427849674595
1727240413,2.683287736766995e-05,1.0,0.894736206962499
1727240414,2.683287736766995e-05,1.0,0.7995990331965948
1727240415,2.6680853585340812e-05,1.0,0.9621551967817158
1727240416,2.6680853585340812e-05,1.0,0.877800359487218
1727240417,2.6680853585340812e-05,1.0,0.20090735485086636
1727240418,2.6680853585340812e-05,1.0,0.6714103575240115
1727240419,2.6695135534819903e-05,1.0,0.7583003570999971
1727240420,2.6695135534819903e-05,1.0,0.999653203662976
1727240421,2.6695135534819903e-05,1.0,0.9971929427556628
1727240422,2.6879315168176887e-05,1.0,0.9969329043133923
1727240423,2.6879317856108538e-05,1.0,0.9985009156360612
1727240424,2.6879317856108538e-05,1.0,0.990716150441165
1727240425,2.6879317856108538e-05,1.0,0.8474022225465937
1727240426,2.722692885825463e-05,1.0,0.9992476136620942
1727240427,2.722692885825463e-05,1.0,0.9968570513953885
1727240428,2.722692885825463e-05,1.0,0.9986829168846075
1727240429,2.7932865307655322e-05,1.0,0.9988924779338303
1727240430,2.7096523703313875e-05,1.0,0.7555163022973881
1727240431,2.7096523703313875e-05,1.0,0.8205133809273215
1727240432,2.7096523703313875e-05,1.0,0.9986328790585355
1727240433,2.7096523703313875e-05,1.0,0.7360760644151507
1727240434,2.6608100333711154e-05,1.0,0.9968190565752301
1727240435,2.6608100333711154e-05,1.0,0.9999164363005717
1727240436,2.6608100333711154e-05,1.0,0.9232961697538482
