time_stamp,current_price,label,prediction
1727211040,1.1650728281388136e-05,1.0,0.9995661392723185
1727211041,1.1650728281388136e-05,1.0,0.5552984395400318
1727211042,1.1650728281388136e-05,1.0,0.9952738019840569
1727211043,1.1650728281388136e-05,1.0,0.7823347488524334
1727211044,1.1650728281388136e-05,1.0,0.9958528390109167
1727211045,1.1650728281388136e-05,1.0,0.9931127215805223
1727211046,1.1650728281388136e-05,1.0,0.2772415409414247
1727211047,1.1650728281388136e-05,1.0,0.9652279868003595
1727211048,1.1650728281388136e-05,1.0,0.9996386280212777
1727211049,1.1650728281388136e-05,1.0,0.9998233617923398
1727211050,1.17212628370068e-05,1.0,0.9140810254075706
1727211051,1.17212628370068e-05,1.0,0.7363237303727324
1727211052,1.17212628370068e-05,1.0,0.9994747499819084
1727211053,1.17212628370068e-05,1.0,0.9988903431006096
1727211054,1.2201266295051621e-05,1.0,0.8325100411855623
1727211055,1.2201266295051621e-05,1.0,0.8688306739542033
1727211056,1.2718014228162423e-05,1.0,0.9569149226527914
1727211057,1.2866166446003622e-05,1.0,0.9964987306510035
1727211058,1.3021451334326726e-05,1.0,0.999149154547822
1727211059,1.3021451334326726e-05,1.0,0.9991224189418604
1727211060,1.3021451334326726e-05,1.0,0.9987357817232683
1727211061,1.3021451334326726e-05,1.0,0.8526784326973114
1727211062,1.3021451334326726e-05,1.0,0.8872627027154798
1727211063,1.3021451334326726e-05,1.0,0.9966062806562459
1727211064,1.3021451334326726e-05,1.0,0.47257536016876245
1727211065,1.3021451334326726e-05,1.0,0.9984312691241997
1727211066,1.3021451334326726e-05,1.0,0.9262451408769832
1727211067,1.3041623938311945e-05,1.0,0.8190229921974798
1727211068,1.3041623938311945e-05,1.0,0.8026776930724011
1727211069,1.3041623938311945e-05,1.0,0.9108277321267646
1727211070,1.3041623938311945e-05,1.0,0.9868066333644809
1727211071,1.3041623938311945e-05,1.0,0.4940354692195562
1727211072,1.3041623938311945e-05,1.0,0.9115857845194193
1727211073,1.3041623938311945e-05,1.0,0.9991050118739222
1727211074,1.3041623938311945e-05,1.0,0.8966480032667355
1727211075,1.3041623938311945e-05,1.0,0.9993020490294788
1727211076,1.3041623938311945e-05,1.0,0.9981917533697735
1727211077,1.3152079733364893e-05,1.0,0.9158656038480002
1727211078,1.3248154513825907e-05,1.0,0.9986420795320646
1727211079,1.3248154513825907e-05,1.0,0.9937678018447387
1727211080,1.3248154513825907e-05,1.0,0.9996619174118063
1727211081,1.3260864643068276e-05,1.0,0.5585539733911169
1727211082,1.3260864643068276e-05,1.0,0.3736555778527634
1727211083,1.3260864643068276e-05,1.0,0.9998158378687071
1727211084,1.3260864643068276e-05,1.0,0.999427849674595
1727211085,1.3260864643068276e-05,1.0,0.894736206962499
1727211086,1.3260864643068276e-05,1.0,0.7995990331965948
1727211087,1.3260864643068276e-05,1.0,0.9621551967817158
1727211088,1.3260864643068276e-05,1.0,0.877800359487218
1727211089,1.3260864643068276e-05,1.0,0.20090735485086636
1727211090,1.3260864643068276e-05,1.0,0.6714103575240115
1727211091,1.3260864643068276e-05,1.0,0.7583003570999971
1727211092,1.3260864643068276e-05,1.0,0.999653203662976
1727211093,1.3260864643068276e-05,1.0,0.9971929427556628
1727211094,1.3260864643068276e-05,1.0,0.9969329043133923
1727211095,1.3260864643068276e-05,1.0,0.9985009156360612
1727211096,1.3260864643068276e-05,1.0,0.990716150441165
1727211097,1.3279347620993869e-05,1.0,0.8474022225465937
1727211098,1.3279347620993869e-05,1.0,0.9992476136620942
1727211099,1.3279347620993869e-05,1.0,0.9968570513953885
1727211100,1.3279347620993869e-05,1.0,0.9986829168846075
1727211101,1.3279347620993869e-05,1.0,0.9988924779338303
1727211102,1.3279347620993869e-05,1.0,0.7555163022973881
1727211103,1.3279347620993869e-05,1.0,0.8205133809273215
1727211104,1.3279347620993869e-05,1.0,0.9986328790585355
1727211105,1.3279347620993869e-05,1.0,0.7360760644151507
1727211106,1.3279347620993869e-05,1.0,0.9968190565752301
1727211107,1.3279347620993869e-05,1.0,0.9999164363005717
1727211108,1.3279347620993869e-05,1.0,0.9232961697538482
1727211109,1.3279347620993869e-05,1.0,0.7612403785974711
1727211110,1.3279347620993869e-05,1.0,0.9992453916847712
1727211111,1.3279347620993869e-05,1.0,0.9991662572831705
1727211112,1.3279347620993869e-05,1.0,0.9611461251624678
1727211113,1.3279347620993869e-05,1.0,0.9965055739371392
1727211114,1.3279347620993869e-05,1.0,0.8678655624653566
1727211115,1.3279347620993869e-05,1.0,0.3231155252338579
1727211116,1.3497148943076817e-05,1.0,0.9984214564414559
1727211117,1.3676165651462702e-05,1.0,0.9963587678707114
1727211118,1.3676165651462702e-05,1.0,0.2840274706416853
1727211119,1.3676165651462702e-05,1.0,0.9449870475624056
1727211120,1.3676165651462702e-05,1.0,0.9998074949132786
1727211121,1.3676165651462702e-05,1.0,0.9973245177199376
1727211122,1.3676165651462702e-05,1.0,0.997424543581995
1727211123,1.3676165651462702e-05,1.0,0.9967227539539589
1727211124,1.3676165651462702e-05,1.0,0.9471382686010922
1727211125,1.3676165651462702e-05,1.0,0.8280224459207346
1727211126,1.3676165651462702e-05,1.0,0.8680461945294643
1727211127,1.3676165651462702e-05,1.0,0.9994824774428152
1727211128,1.3676165651462702e-05,1.0,0.5864455121068105
1727211129,1.3676165651462702e-05,1.0,0.9979307943911511
1727211130,1.3676165651462702e-05,1.0,0.4192732704022136
1727211131,1.3676165651462702e-05,1.0,0.9995120064991834
1727211132,1.3676165651462702e-05,1.0,0.9978618859139958
1727211133,1.3676165651462702e-05,1.0,0.9984680758786644
1727211134,1.3676165651462702e-05,1.0,0.9998389690497871
1727211135,1.3676165651462702e-05,1.0,0.9312131828238766
1727211136,1.3676165651462702e-05,1.0,0.7619523083264618
1727211137,1.3676165651462702e-05,1.0,0.9980958301669268
1727211138,1.3676165651462702e-05,1.0,0.9988140783974612
1727211139,1.3676165651462702e-05,1.0,0.9984278035477909
1727211140,1.3676165651462702e-05,1.0,0.9974389181314011
1727211141,1.3676165651462702e-05,1.0,0.8495183820967723
1727211142,1.3676165651462702e-05,1.0,0.9974441171180117
